sqlsolver file,sqlsolver result,sql duration
query007-call-150.smt2,SAT,0.012020291
query007-call-151.smt2,SAT,0.012305166
query007-call-152.smt2,SAT,0.01260825
query007-call-153.smt2,SAT,0.011664292
query007-call-154.smt2,SAT,0.009927666
query007-call-155.smt2,SAT,0.012432709
query007-call-156.smt2,SAT,0.011142959
query007-call-157.smt2,SAT,0.012414208
query007-call-158.smt2,SAT,0.010234625
query007-call-159.smt2,SAT,0.013741
query007-call-160.smt2,SAT,0.026518042
query007-call-161.smt2,SAT,0.03165025
query007-call-162.smt2,SAT,0.039486209
query007-call-163.smt2,SAT,0.023778458
query007-call-164.smt2,SAT,0.040675417
query007-call-165.smt2,SAT,0.030544292
query007-call-166.smt2,SAT,0.029185333
query007-call-167.smt2,SAT,0.026386291
query007-call-168.smt2,SAT,0.048250958
query007-call-169.smt2,SAT,0.05016675
query007-call-170.smt2,SAT,0.027423625
query007-call-171.smt2,SAT,0.038054125
query007-call-172.smt2,SAT,0.023518
query007-call-173.smt2,SAT,0.031661333
query007-call-174.smt2,SAT,0.024603708
query007-call-175.smt2,SAT,0.022451541
query007-call-176.smt2,SAT,0.03444475
query007-call-177.smt2,SAT,0.021971666
query007-call-178.smt2,SAT,0.028912042
query007-call-179.smt2,SAT,0.035064875
query007-call-180.smt2,SAT,0.013872625
query007-call-181.smt2,SAT,0.014609
query007-call-182.smt2,SAT,0.012208083
query007-call-183.smt2,SAT,0.013572125
query007-call-184.smt2,SAT,0.010821458
query007-call-185.smt2,SAT,0.0135195
query007-call-186.smt2,SAT,0.011215208
query007-call-187.smt2,SAT,0.012715083
query007-call-188.smt2,SAT,0.013508292
query007-call-189.smt2,SAT,0.011161584
query007-call-190.smt2,SAT,0.010757833
query007-call-191.smt2,SAT,0.010345292
query007-call-192.smt2,SAT,0.012688875
query007-call-193.smt2,SAT,0.023428709
query007-call-194.smt2,SAT,0.014348667
query007-call-195.smt2,SAT,0.015832958
query007-call-196.smt2,SAT,0.013206625
query007-call-197.smt2,SAT,0.010374667
query007-call-198.smt2,SAT,0.016296875
query007-call-199.smt2,SAT,0.013410333
query007-call-200.smt2,SAT,0.236605542
query007-call-201.smt2,SAT,0.2451295
query007-call-202.smt2,UNSAT,28.777989167
query008-call-0.smt2,SAT,0.268714625
query008-call-1.smt2,SAT,0.435993
query008-call-2.smt2,SAT,0.169940334
query008-call-3.smt2,SAT,0.33171375
query008-call-4.smt2,SAT,0.196183583
query008-call-5.smt2,SAT,0.268837542
query008-call-6.smt2,SAT,0.263879667
query008-call-7.smt2,SAT,0.297905958
query008-call-8.smt2,UNSAT,17.3468015
query009-call-0.smt2,UNSAT,120.389137542
query012-call-0.smt2,UNSAT,66.52717475
query015-call-0.smt2,UNSAT,0.7245365
query018-call-0.smt2,SAT,0.068929
query018-call-1.smt2,SAT,0.059283708
query018-call-2.smt2,SAT,0.095876625
query018-call-3.smt2,SAT,0.0520755
query018-call-4.smt2,UNSAT,403.413818125
query022-call-0.smt2,SAT,1.863537
